year,topic,papers,decisions,acceptance_rate,reviewed,mean_score,mean_disagreement,high_disagreement_rate
2022,vision-language models,6,6,0.3333333333333333,6,5.291666666666667,0.9865248421400606,0.16666666666666666
2023,CNNs,42,42,0.35714285714285715,42,5.098809523809524,1.1400854419067314,0.11904761904761904
2023,GANs,35,35,0.2857142857142857,33,4.872222222222222,0.9815804896017791,0.05714285714285714
2023,LLMs,48,48,0.4375,47,5.402127659574468,1.0751080428317306,0.10416666666666667
2023,RL,170,170,0.37058823529411766,168,5.198710317460318,1.0399182700331755,0.13529411764705881
2023,RNNs,22,22,0.36363636363636365,22,4.963636363636364,0.9208983432125764,0.09090909090909091
2023,ViTs,50,50,0.16,50,4.8389999999999995,1.143152287933026,0.12
2023,active learning,26,26,0.23076923076923078,26,4.8403846153846155,1.1471719113903927,0.11538461538461539
2023,adversarial,119,119,0.2605042016806723,118,5.071892655367232,1.021569755228216,0.058823529411764705
2023,alignment,3,3,0.6666666666666666,3,5.833333333333333,0.8660254037844387,0.0
2023,anomaly detection,14,14,0.21428571428571427,14,4.803571428571429,1.079386630837593,0.21428571428571427
2023,autoencoders,47,47,0.2978723404255319,47,4.86063829787234,1.022164111386616,0.10638297872340426
2023,autonomous driving,10,10,0.4,10,5.75,1.3010716079314206,0.4
2023,causality,40,40,0.3,40,5.16125,1.1373130297354237,0.075
2023,clustering,22,22,0.18181818181818182,22,5.041666666666667,0.7705754824924096,0.0
2023,code generation,14,14,0.5714285714285714,14,5.5249999999999995,1.0054155666430387,0.14285714285714285
2023,compression,43,43,0.37209302325581395,43,5.090697674418605,0.9324214248304646,0.11627906976744186
2023,continual learning,64,64,0.234375,63,5.048677248677248,1.1105470946873397,0.09375
2023,diffusion models,64,64,0.5,64,5.677864583333333,1.0524503302420771,0.109375
2023,explainability,49,49,0.32653061224489793,49,5.156462585034014,1.1039583447522165,0.12244897959183673
2023,fairness,37,37,0.24324324324324326,37,5.031981981981982,0.981761470943956,0.13513513513513514
2023,federated learning,89,89,0.2247191011235955,88,4.89883658008658,1.0186028752051972,0.07865168539325842
2023,few-shot learning,30,30,0.43333333333333335,30,5.296111111111111,0.9738663681642669,0.06666666666666667
2023,graphs,168,168,0.30952380952380953,166,5.087198795180723,1.0687364772435781,0.09523809523809523
2023,imitation learning,22,22,0.3181818181818182,22,5.249242424242424,1.0984614550028307,0.13636363636363635
2023,in-context learning,7,7,0.5714285714285714,7,5.654761904761905,1.0124604922719274,0.14285714285714285
2023,interpretability,15,15,0.2,14,4.989285714285714,0.8966134514252274,0.2
2023,knowledge distillation,36,36,0.2777777777777778,36,4.918055555555556,0.9728132763262626,0.08333333333333333
2023,knowledge graphs,12,12,0.4166666666666667,12,5.322222222222222,1.1172613602332917,0.25
2023,language models,117,117,0.3418803418803419,115,5.265507246376811,1.0952647310214811,0.11965811965811966
2023,meta learning,54,54,0.2962962962962963,54,5.162169312169312,1.0953066100745328,0.14814814814814814
2023,model-based RL,23,23,0.43478260869565216,23,5.3420289855072465,0.9790584615779194,0.08695652173913043
2023,multi-agent RL,51,51,0.21568627450980393,50,4.781499999999999,0.9127963024377681,0.09803921568627451
2023,multi-task learning,24,24,0.2916666666666667,24,4.888888888888888,1.0898372129104354,0.08333333333333333
2023,neural architecture search,22,22,0.22727272727272727,22,5.121969696969697,0.6281494600403232,0.0
2023,neuroscience,15,15,0.5333333333333333,15,5.796666666666667,1.0732405741947557,0.2
2023,object detection,37,37,0.2702702702702703,37,5.116666666666666,0.9024533568454185,0.05405405405405406
2023,offline RL,72,72,0.4444444444444444,72,5.685416666666667,1.121607160395234,0.08333333333333333
2023,optimal transport,31,31,0.41935483870967744,30,5.617222222222222,1.013580867123966,0.06451612903225806
2023,optimization,125,125,0.368,125,5.433466666666666,1.0682104352055704,0.096
2023,out-of-distribution,70,70,0.34285714285714286,70,5.293809523809524,1.1141657892679806,0.14285714285714285
2023,privacy,57,57,0.2982456140350877,56,5.141071428571428,0.9779978558694667,0.05263157894736842
2023,pruning,20,20,0.25,20,4.6975,0.9095642536929633,0.1
2023,robustness,41,41,0.3170731707317073,41,5.221544715447155,1.0097995530494264,0.07317073170731707
2023,safety,13,13,0.23076923076923078,13,4.961538461538462,0.9990136185300276,0.07692307692307693
2023,self-supervised learning,147,147,0.3401360544217687,147,5.378231292517007,1.0354186110346482,0.061224489795918366
2023,semi-supervised learning,34,34,0.3235294117647059,34,5.035294117647059,0.9872108453505826,0.11764705882352941
2023,time series,32,32,0.28125,32,5.0765625,1.2177182577341952,0.1875
2023,transfer learning,86,86,0.32558139534883723,86,5.129457364341085,1.038502309819146,0.046511627906976744
2023,transformers,138,138,0.3115942028985507,137,5.128223844282239,1.0483967888837644,0.07246376811594203
2023,vision-language models,28,28,0.25,28,4.851785714285714,1.0346138614540876,0.10714285714285714
2024,CNNs,33,33,0.09090909090909091,33,4.431565656565657,1.2266373381415359,0.15151515151515152
2024,GANs,25,25,0.24,25,4.469333333333333,0.9553444364784841,0.04
